term,Topic,Freq,Term
694,5,0.25845497138486384,erupcionlapalma
694,6,0.03259792431881166,erupcionlapalma
694,7,0.009313692662517616,erupcionlapalma
2752,1,0.15936782647413814,eruption
2752,2,0.20490149118103473,eruption
2752,3,0.295968820594828,eruption
2752,4,0.04553366470689661,eruption
2752,5,0.06830049706034491,eruption
2752,6,0.22766832353448305,eruption
2752,7,0.022766832353448306,eruption
7083,1,0.8841677429866014,escaparon
2848,1,0.14252841544792874,escupe
2848,2,0.14252841544792874,escupe
2848,3,0.07126420772396437,escupe
2848,4,0.07126420772396437,escupe
2848,5,0.570113661791715,escupe
9139,4,0.7774315526432932,espanaafricana
11,1,0.16714242004176152,espanola
11,2,0.21112726742117244,espanola
11,3,0.2551121148005834,espanola
11,4,0.09676666423470404,espanola
11,5,0.09676666423470404,espanola
11,6,0.03518787790352874,espanola
11,7,0.14075151161411495,espanola
1880,1,0.6030473507335196,espanoles
1880,2,0.10050789178891992,espanoles
1880,4,0.10050789178891992,espanoles
1880,5,0.05025394589445996,espanoles
1880,6,0.10050789178891992,espanoles
9017,3,0.718984956332317,espanto
9017,7,0.17974623908307924,espanto
5011,2,0.6400661792774013,especialistas
5011,4,0.21335539309246712,especialistas
9018,3,0.7186038683312846,estruendosas
9018,7,0.17965096708282116,estruendosas
4265,7,0.8558841061831569,estuviera
127,1,0.23596370204018766,etna
127,2,0.13272958239760557,etna
127,3,0.07373865688755864,etna
127,4,0.13272958239760557,etna
127,5,0.044243194132535184,etna
127,6,0.17697277653014074,etna
127,7,0.19172050790765247,etna
2629,1,0.1452958359669535,expertos
2629,2,0.020756547995279075,expertos
2629,3,0.24907857594334887,expertos
2629,4,0.0830261919811163,expertos
2629,5,0.24907857594334887,expertos
2629,6,0.10378273997639537,expertos
2629,7,0.1452958359669535,expertos
8045,5,0.9352926735733018,explicamos
3301,1,0.7910876203508181,explicando
2383,1,0.09177406291187916,expulsar
2383,2,0.18354812582375832,expulsar
2383,3,0.09177406291187916,expulsar
2383,5,0.4588703145593958,expulsar
2383,6,0.09177406291187916,expulsar
2383,7,0.09177406291187916,expulsar
3180,1,0.20978183540911924,extrano
3180,2,0.6293455062273577,extrano
777,1,0.09156409623307,fantasma
777,2,0.09156409623307,fantasma
777,5,0.09156409623307,fantasma
777,7,0.73251276986456,fantasma
2040,1,0.12208232063124816,fase
2040,2,0.04069410687708272,fase
2040,3,0.16277642750833088,fase
2040,4,0.04069410687708272,fase
2040,5,0.08138821375416544,fase
2040,6,0.4069410687708272,fase
2040,7,0.12208232063124816,fase
11165,6,0.8445726059596993,felizmartes
3828,3,0.700148610535062,fenomenos
3828,4,0.1400297221070124,fenomenos
3828,7,0.1400297221070124,fenomenos
5353,2,0.1366142017277458,fernando
5353,4,0.6830710086387289,fernando
5353,5,0.0683071008638729,fernando
4802,1,0.06795785984324432,fisuras
4802,2,0.27183143937297727,fisuras
4802,4,0.06795785984324432,fisuras
4802,5,0.5436628787459545,fisuras
1338,4,0.8600111111642942,florentino
1179,6,0.8445958848300338,florida
9712,3,0.7485824386157962,flows
3238,1,0.7967484712778846,fluir
3238,5,0.19918711781947115,fluir
2436,1,0.06545116525748407,flujo
2436,2,0.0981767478862261,flujo
2436,3,0.13090233051496813,flujo
2436,4,0.06545116525748407,flujo
2436,5,0.032725582628742034,flujo
2436,6,0.0981767478862261,flujo
2436,7,0.5236093220598725,flujo
8037,7,0.8559486054421498,focal
117,1,0.04784341776245803,fotos
117,2,0.08372598108430156,fotos
117,3,0.26313879769351917,fotos
117,4,0.10764768996553056,fotos
117,5,0.04784341776245803,fotos
117,6,0.2990213610153627,fotos
117,7,0.13156939884675958,fotos
66,1,0.0313868986807883,frente
66,2,0.0313868986807883,frente
66,3,0.15693449340394147,frente
66,4,0.34525588548867125,frente
66,5,0.09416069604236488,frente
66,6,0.1255475947231532,frente
66,7,0.21970829076551807,frente
757,1,0.07408348507963629,fuerte
757,2,0.22225045523890888,fuerte
757,3,0.4815426530176359,fuerte
757,4,0.037041742539818144,fuerte
757,5,0.07408348507963629,fuerte
757,6,0.037041742539818144,fuerte
757,7,0.07408348507963629,fuerte
630,1,0.2534624403714828,fuerza
630,2,0.18104460026534483,fuerza
630,3,0.03620892005306897,fuerza
630,4,0.07241784010613794,fuerza
630,5,0.4345070406368276,fuerza
630,7,0.07241784010613794,fuerza
4212,1,0.2105815597787482,fuser_news
4212,7,0.6317446793362446,fuser_news
9066,2,0.6375445065987931,gadanon
11013,2,0.7653587763482388,galicia
225,1,0.45672235032305203,gente
225,2,0.05269873272958293,gente
225,3,0.08783122121597155,gente
225,4,0.14052995394555448,gente
225,5,0.1756624424319431,gente
225,6,0.05269873272958293,gente
225,7,0.03513248848638862,gente
1472,1,0.06140002420891821,gigantes
1472,4,0.3684001452535093,gigantes
1472,5,0.06140002420891821,gigantes
1472,7,0.49120019367134565,gigantes
3165,2,0.2857601015535267,glezjuanje
3165,7,0.5715202031070534,glezjuanje
11252,5,0.8658781963729274,goberno
83,1,0.07367638059255877,gobierno
83,2,0.23576441789618804,gobierno
83,3,0.029470552237023506,gobierno
83,4,0.05894110447404701,gobierno
83,5,0.23576441789618804,gobierno
83,6,0.13261748506660578,gobierno
83,7,0.2210291417776763,gobierno
2906,4,0.8600592130703058,gol
2949,5,0.8656720768976248,golpeada
5958,4,0.8600027932135175,gomez
504,1,0.4954834692190245,gracias
504,3,0.058292172849297,gracias
504,4,0.233168691397188,gracias
504,5,0.0291460864246485,gracias
504,7,0.174876518547891,gracias
1032,1,0.2693328845315364,gran
1032,2,0.09793923073874052,gran
1032,3,0.18363605763513846,gran
1032,4,0.22036326916216617,gran
1032,5,0.07345442305405539,gran
1032,6,0.06121201921171282,gran
1032,7,0.08569682689639795,gran
7041,5,0.2582189028414452,gratuita
7041,7,0.7746567085243357,gratuita
5342,1,0.178607315129569,gravedad
5342,6,0.714429260518276,gravedad
1287,1,0.5261883359489543,guardia
1287,3,0.09866031299042895,guardia
1287,4,0.06577354199361929,guardia
1287,5,0.16443385498404822,guardia
1287,7,0.13154708398723858,guardia
3166,2,0.28573627298364956,gus_texeda
3166,7,0.5714725459672991,gus_texeda
4449,1,0.039810872792543195,habitantes
4449,2,0.43791960071797514,habitantes
4449,3,0.11943261837762958,habitantes
4449,4,0.039810872792543195,habitantes
4449,5,0.07962174558508639,habitantes
4449,6,0.15924349117017278,habitantes
4449,7,0.15924349117017278,habitantes
1368,1,0.04447494926242842,hectareas
1368,2,0.11118737315607105,hectareas
1368,3,0.03706245771869035,hectareas
1368,4,0.45957447571176036,hectareas
1368,5,0.13342484778728528,hectareas
1368,6,0.11118737315607105,hectareas
1368,7,0.11118737315607105,hectareas
6726,4,0.8600138760081879,heroe
3167,2,0.2857676101778995,himargonzalez
3167,7,0.571535220355799,himargonzalez
4874,2,0.6350289320689548,hogar
4874,3,0.21167631068965162,hogar
8847,2,0.6962129543664585,hogares
8847,3,0.11603549239440974,hogares
8847,7,0.11603549239440974,hogares
4182,1,0.16915276882783642,homenaje
4182,2,0.16915276882783642,homenaje
4182,4,0.5074583064835093,homenaje
4182,7,0.08457638441391821,homenaje
8340,5,0.8657937483696179,hosteleria
10389,4,0.8600365769080429,hubieras
1473,4,0.37136190873293823,icono
1473,5,0.07427238174658765,icono
1473,7,0.5199066722261135,icono
165,1,0.056175377286716156,imagenes
165,2,0.23874535346854367,imagenes
165,3,0.175548054020988,imagenes
165,4,0.06319729944755567,imagenes
165,5,0.2598111199510622,imagenes
165,6,0.12639459889511134,imagenes
165,7,0.08426306593007424,imagenes
3503,7,0.85577348112638,imagennoticias
8808,4,0.8599255421373462,imparte
5604,4,0.16286278632147472,incandescente
5604,5,0.6514511452858989,incandescente
5604,6,0.16286278632147472,incandescente
8903,2,0.6375516154669951,incesante
11584,3,0.8332117155572291,indicio
10441,6,0.6337993241481911,iniciaron
1082,1,0.2348155723521085,inicio
1082,2,0.31308742980281135,inicio
1082,3,0.10958060043098397,inicio
