,Term,Freq,Total,Category,logprob,loglift
100,actividad,32.5155528367405,133.54008809869282,Topic2,-5.4121,0.4596
1878,atrapados,29.586623177399257,120.87584690495913,Topic2,-5.5065,0.4648
815,video,30.456981152050712,127.81974457891869,Topic2,-5.4775,0.438
1340,grupo,11.253485282417392,25.31898661494952,Topic2,-6.4732,1.0614
1903,afectados,25.45703846362167,103.20407908198385,Topic2,-5.6568,0.4725
237,casa,15.619548854081948,47.59334154584532,Topic2,-6.1453,0.7581
267,dioxido,10.8645969865625,25.95547643191744,Topic2,-6.5083,1.0014
924,personas,20.816983675602902,90.52263598606004,Topic2,-5.8581,0.4024
296,mar,26.4905336303156,147.4466412602066,Topic2,-5.6171,0.1556
538,nla,16.328272845628153,57.40854150468007,Topic2,-6.1009,0.615
99,principal,34.78851333376123,271.70694364623176,Topic2,-5.3446,-0.1832
25,instituto,14.907650478877118,49.778112004244946,Topic2,-6.192,0.6666
2131,km,11.824491752239327,30.808103611598003,Topic2,-6.4237,0.9147
1691,sismos,14.161096860160217,45.65345365744362,Topic2,-6.2433,0.7017
106,via,27.220903151908168,213.59387524394597,Topic2,-5.5899,-0.1878
629,bocas,15.711907979268796,66.18931305600631,Topic2,-6.1394,0.4342
266,azufre,12.536941530271017,36.84436396974034,Topic2,-6.3652,0.7942
168,cenizas,18.96566819560065,123.75767829851169,Topic2,-5.9512,-0.0034
2753,volcano,17.84662754603577,105.1405875547106,Topic2,-6.012,0.0988
695,erupcionlapalma,25.615893376479555,442.93686804854633,Topic2,-5.6506,-0.978
714,canaria,15.013431597181755,70.56540816289103,Topic2,-6.1849,0.3247
1368,hectareas,17.779096817674322,140.02707969083096,Topic2,-6.0158,-0.1915
642,laguna,18.306007179276317,161.46311185035194,Topic2,-5.9866,-0.3048
165,imagenes,16.488973685487952,143.64371203688785,Topic2,-6.0911,-0.2924
248,volcanica,15.338267244044617,102.6679605918935,Topic2,-6.1635,-0.0289
141,ultima,15.50546785076502,118.65719298691064,Topic2,-6.1526,-0.1628
97,derrumbe,15.589058822692769,139.66048003731174,Topic2,-6.1473,-0.3204
9626,furiosa,12.4737073267123,13.163737802594616,Topic3,-6.329,1.8596
9627,rehen,11.704919750670118,12.394708349757991,Topic3,-6.3926,1.8562
9625,avisan,10.926838935822841,11.617000141450418,Topic3,-6.4614,1.8522
